,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,age_batiment,LargestPropertyUseType,PrimaryPropertyType,BuildingType,Ratio_buildingParSurface,Ratio_parkingParSurface,SurfaceParetage,ComplianceStatus,Outlier,is_energyStarImputed,pr_steam,pr_natural,pr_elec
40,2951331.25,83.86,1.0,2,52554,0,52554,83.0,116,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,17518.0,Compliant,inconnue,False,0.0,0.4647333300862111,0.5352665852062523
41,6994740.5,247.85,1.0,3,175015,0,175015,95.0,62,K-12 School,K-12 School,NonResidential,1.0,0.0,43753.75,Compliant,inconnue,False,0.0,0.6168922206620817,0.3831077078556381
42,2158629.0,45.43,1.0,3,70586,0,70586,70.4,105,Self-Storage Facility,Self-Storage Facility,NonResidential,1.0,0.0,17646.5,Compliant,inconnue,True,0.0,0.30500841043087995,0.69499158956912
43,16163194.0,295.33,1.0,24,332210,205970,126240,67.0,47,Hotel,Hotel,NonResidential,0.38,62.0,13288.4,Compliant,inconnue,False,0.0,0.2449260338024774,0.7550739043285628
44,9536161.0,66.48,1.0,5,168115,0,168115,78.0,43,Office,Large Office,NonResidential,1.0,0.0,28019.16667,Compliant,inconnue,False,0.0,0.0,0.9999998951359986
45,1247362.0,33.26,1.0,2,57428,0,57428,58.0,96,Other,Other,NonResidential,1.0,0.0,19142.66667,Compliant,inconnue,True,0.0,0.42683920145074167,0.5731607985492584
46,5071974.0,35.36,1.0,8,59400,0,59400,14.0,106,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,6600.0,Compliant,inconnue,False,0.0,0.0,0.9999998028381061
47,15026196.0,584.31,1.0,2,52549,0,52549,54.2,90,Other - Entertainment/Public Assembly,Mixed Use Property,NonResidential,1.0,0.0,17516.33333,Compliant,inconnue,True,0.0,0.6917078014954683,0.3082921985045317
48,4841347.5,59.19,1.0,20,98634,10043,88591,71.0,86,Hotel,Hotel,NonResidential,0.9,10.181999999999999,4696.85714,Compliant,inconnue,False,0.0,0.11387077667942655,0.8861291200435416
49,80469216.0,2451.58,1.0,34,994212,146694,847518,63.0,34,Hotel,Hotel,NonResidential,0.85,14.754999999999999,28406.05714,Compliant,inconnue,False,0.1441381757714652,0.2898622996401506,0.5659994127443717
50,5348309.0,134.38,1.0,7,71150,0,71150,98.0,31,Hotel,Hotel,NonResidential,1.0,0.0,8893.75,Compliant,inconnue,False,0.0,0.3934716561814211,0.606528156843593
51,5401277.5,227.18,1.0,7,122810,0,122810,99.0,108,Hotel,Hotel,NonResidential,1.0,0.0,15351.25,Compliant,inconnue,False,0.0,0.7605082316174275,0.2394916758118797
52,5284343.5,144.79,1.0,5,113173,42546,70627,86.0,57,Hotel,Hotel,NonResidential,0.62,37.594,18862.16667,Compliant,inconnue,False,0.0,0.4427537687510284,0.5572461366298387
53,6715187.0,199.95,1.0,7,150453,34735,115718,84.0,16,Hotel,Hotel,NonResidential,0.77,23.087,18806.625,Compliant,inconnue,False,0.0,0.49426441884641487,0.5057355811535852
54,5827595.5,162.39,1.0,6,116300,28200,88100,80.0,19,Hotel,Hotel,NonResidential,0.76,24.248,16614.28571,Compliant,inconnue,False,0.0,0.4528691121406762,0.547130802060644
55,6836900.0,152.76,1.0,6,155602,36744,118858,81.0,18,Hotel,Hotel,NonResidential,0.76,23.613999999999997,22228.85714,Compliant,inconnue,False,0.0,0.3331863856426158,0.666813468092264
56,3234787.75,146.34,1.0,3,56072,0,56072,76.0,105,K-12 School,K-12 School,NonResidential,1.0,0.0,14018.0,Compliant,inconnue,False,0.0,0.8293959936011258,0.17060377454440404
57,5337334.0,171.64,1.0,4,122942,44891,78051,94.0,17,Hotel,Hotel,NonResidential,0.63,36.514,24588.4,Compliant,inconnue,False,0.0,0.545891263316105,0.454108736683895
58,3375211.0,87.98,1.0,2,54984,0,54984,71.0,54,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,18328.0,Compliant,inconnue,False,0.0,0.4138944202303204,0.5861055797696796
59,42792072.0,1727.11,1.0,5,217603,0,217603,54.0,94,Senior Care Community,Senior Care Community,NonResidential,1.0,0.0,36267.16667,Compliant,inconnue,False,0.0,0.7236690945930359,0.27633090540696414
60,16402563.0,609.1,1.0,2,93397,0,93397,1.0,46,Senior Care Community,Senior Care Community,NonResidential,1.0,0.0,31132.33333,Compliant,inconnue,False,0.0,0.6537431985476904,0.3462567404862277
61,3706100.25,67.06,1.0,6,84103,20732,63371,74.0,8,Hotel,Hotel,NonResidential,0.75,24.651,12014.71429,Compliant,inconnue,False,0.0,0.24106525450842836,0.7589346780352204
63,16701055.0,430.84,0.0,3,179014,0,179014,48.0,51,Medical Office,Medical Office,NonResidential,1.0,0.0,44753.5,Compliant,inconnue,False,0.0,0.40803230694108844,0.5919676331824546
64,7258758.5,262.75,1.0,7,76631,0,76631,71.0,108,Hotel,Hotel,NonResidential,1.0,0.0,9578.875,Compliant,inconnue,False,0.0,0.6334438595801196,0.3665560715375777
65,15473117.0,481.97,1.0,6,99780,9341,90439,54.2,33,Medical Office,Mixed Use Property,NonResidential,0.91,9.362,14254.28571,Compliant,inconnue,True,0.3443263887941906,0.0,0.6556735142634803
66,1049748.625,39.06,1.0,2,58320,0,58320,96.0,87,Retail Store,Retail Store,NonResidential,1.0,0.0,19440.0,Compliant,inconnue,False,0.0,0.6553426064263719,0.34465679819299594
67,13795954.0,138.85,1.0,5,316306,0,316306,96.0,6,Office,Large Office,NonResidential,1.0,0.0,52717.66667,Compliant,inconnue,False,0.0,0.06703856797434958,0.9329612870556107
68,19459304.0,526.85,1.0,7,282863,44766,238097,37.0,26,Hotel,Hotel,NonResidential,0.84,15.826,35357.875,Compliant,inconnue,False,0.0,0.4357119350209031,0.5642880135897974
72,39605888.0,617.52,1.0,12,571329,0,571329,91.0,6,Office,Large Office,NonResidential,1.0,0.0,43948.38462,Compliant,inconnue,False,0.0,0.1868329527165254,0.8131669462883903
74,875943.3125,6.11,1.0,1,60696,0,60696,74.0,88,Other,Other,Nonresidential COS,1.0,0.0,30348.0,Compliant,inconnue,True,0.0,0.0,0.9999996432417537
76,4166306.25,29.04,0.0,2,66240,2352,63888,31.2,30,Office,Small- and Mid-Sized Office,NonResidential,0.96,3.551,22080.0,Compliant,inconnue,True,0.0,0.0,0.9999996999740478
77,36667044.0,674.09,1.0,6,920598,303707,616891,93.0,6,Office,Large Office,NonResidential,0.67,32.99,131514.0,Compliant,inconnue,False,0.0,0.2473550908548832,0.7526448273277769
78,3476212.5,48.76,1.0,4,76213,25930,50283,68.0,46,Office,Small- and Mid-Sized Office,NonResidential,0.66,34.022999999999996,15242.6,Compliant,inconnue,False,0.0,0.15290204496992058,0.8470978111953743
79,5155568.5,152.14,1.0,6,96910,36934,59976,56.0,14,Hotel,Hotel,NonResidential,0.62,38.112,13844.28571,Compliant,inconnue,False,0.0,0.48851217862782736,0.5114879183546878
80,5448975.0,191.2,2.0,4,50017,0,50017,53.0,54,Hotel,Hotel,NonResidential,1.0,0.0,10003.4,Compliant,inconnue,False,0.0,0.6094116783431747,0.3905883216568254
82,2646879.0,78.85,1.0,3,67743,0,67743,34.0,93,K-12 School,K-12 School,NonResidential,1.0,0.0,16935.75,Compliant,inconnue,False,0.0,0.49457984290177226,0.5054201570982277
83,6219841.5,243.23,1.0,6,194104,0,194104,100.0,108,K-12 School,K-12 School,NonResidential,1.0,0.0,27729.14286,Compliant,inconnue,False,0.0,0.6964725708846439,0.30352750950325663
84,4897760.0,34.14,1.0,3,99433,35752,63681,63.0,13,Office,Small- and Mid-Sized Office,NonResidential,0.64,35.955999999999996,24858.25,Compliant,inconnue,False,0.0,0.0,1.0
89,6357632.0,44.32,1.0,4,56521,0,56521,57.8,75,Other,Other,NonResidential,1.0,0.0,11304.2,Compliant,inconnue,True,0.0,0.0,0.9999998427087318
90,4253577.5,133.58,1.0,2,206934,0,206934,41.4,87,Other,Other,NonResidential,1.0,0.0,68978.0,Compliant,inconnue,True,0.0,0.5295481274292052,0.4704517550226838
91,3611538.0,127.29,1.0,4,51390,0,51390,89.0,15,Hotel,Hotel,NonResidential,1.0,0.0,10278.0,Compliant,inconnue,False,0.0,0.6128272774646149,0.3871727225353852
94,3242458.0,89.02,1.0,3,69138,0,69138,78.0,14,Hotel,Hotel,NonResidential,1.0,0.0,17284.5,Compliant,inconnue,False,0.0,0.44397429357604634,0.5560253980159496
96,6505995.0,142.39,1.0,5,190980,0,190980,98.0,112,Hotel,Hotel,NonResidential,1.0,0.0,31830.0,Compliant,inconnue,False,0.0,0.32325324566034863,0.6767466006352603
97,14641502.0,429.12,1.0,6,284100,0,284100,47.4,18,Other - Entertainment/Public Assembly,Other,Nonresidential COS,1.0,0.0,40585.71429,Compliant,inconnue,True,0.2944462938296904,0.036017001534405416,0.6695365680378966
98,68090728.0,1990.5,4.0,5,285333,0,285333,14.0,62,Hospital (General Medical & Surgical),Hospital,NonResidential,1.0,0.0,47555.5,Compliant,inconnue,False,0.0,0.4824961190016943,0.5175037194491444
100,9363374.0,176.75,1.0,4,61156,0,61156,60.8,10,Other,Other,Nonresidential COS,1.0,0.0,12231.2,Compliant,inconnue,True,0.0,0.258037754339408,0.741962245660592
101,2010454.625,46.26,1.0,4,72820,13820,59000,62.6,106,Other,Other,NonResidential,0.81,18.978,14564.0,Compliant,inconnue,True,0.0,0.34757561365007184,0.6524240754749687
102,7946961.0,228.4,1.0,4,162222,14200,148022,76.0,20,Hotel,Hotel,NonResidential,0.91,8.753,32444.4,Compliant,inconnue,False,0.0,0.4718154524729642,0.5281845475270358
104,3059758.0,74.33,1.0,3,63330,0,63330,47.4,101,College/University,University,NonResidential,1.0,0.0,15832.5,Compliant,inconnue,True,0.0,0.37541988614785876,0.6245801138521413
106,16319835.0,222.02,1.0,2,96300,0,96300,64.2,14,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,32100.0,Compliant,inconnue,True,0.0,0.14375984806218936,0.8562400293875521
107,7475577.5,204.08,1.0,1,67356,0,67356,54.4,66,Other,Other,Nonresidential COS,1.0,0.0,33678.0,Compliant,inconnue,True,0.0,0.44057813593665507,0.5594217971788802
112,4253369.5,61.21,1.0,1,54765,0,54765,39.2,58,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,27382.5,Compliant,inconnue,True,0.0,0.16082120304854775,0.8391786793975929
113,1950092.5,100.46,1.0,5,89821,0,89821,60.2,7,Other,Other,NonResidential,1.0,0.0,14970.16667,Compliant,inconnue,True,0.0,0.9654059999717962,0.03459425642629773
114,4116871.5,104.26,1.0,2,52611,0,52611,31.2,36,College/University,University,NonResidential,1.0,0.0,17537.0,Compliant,inconnue,True,0.0,0.39777729278166685,0.6022225857668864
115,4448582.5,129.39,1.0,4,139600,37500,102100,89.0,15,Residence Hall/Dormitory,Residence Hall,NonResidential,0.73,26.862000000000002,27920.0,Compliant,inconnue,False,0.0,0.47931762533346295,0.5206822622711841
117,13071700.0,422.39,3.0,6,250981,0,250981,50.6,45,Other,Other,NonResidential,1.0,0.0,35854.42857,Compliant,inconnue,True,0.3317490838988043,0.044383821538131994,0.6238669798113482
119,65336980.0,2055.82,1.0,11,299070,68432,230638,85.2,12,Other,Other,NonResidential,0.77,22.881999999999998,24922.5,Compliant,inconnue,True,0.0,0.5308682923514371,0.46913163112222206
120,3242077.75,49.58,1.0,3,64015,0,64015,21.0,9,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,16003.75,Compliant,inconnue,False,0.0,0.18034607590764903,0.8196540012033949
121,27717034.0,723.47,1.0,1,530039,0,530039,98.0,65,Retail Store,Retail Store,NonResidential,1.0,0.0,265019.5,Compliant,inconnue,False,0.0,0.41463682585950573,0.5853631019827014
122,7265178.0,231.53,1.0,3,54224,0,54224,50.0,52,Other,Other,NonResidential,1.0,0.0,13556.0,Compliant,inconnue,True,0.0,0.5396082518556324,0.4603916105014908
123,8765978.0,66.3,1.0,4,124342,0,124342,76.0,51,Retail Store,Retail Store,NonResidential,1.0,0.0,24868.4,Compliant,inconnue,False,0.0,0.012817280627443965,0.9871826052951536
124,253832464.0,8145.52,6.0,10,879000,0,879000,10.0,63,Hospital (General Medical & Surgical),Hospital,NonResidential,1.0,0.0,79909.09091,Compliant,inconnue,False,0.0,0.5444190858108677,0.45558085115542984
125,3191228.25,83.7,1.0,3,55442,0,55442,72.0,20,Other,Other,NonResidential,1.0,0.0,13860.5,Compliant,inconnue,False,0.0,0.4173574861027255,0.5826424355575318
127,1381590.125,51.11,1.0,5,84870,0,84870,65.6,106,Self-Storage Facility,Self-Storage Facility,NonResidential,1.0,0.0,14145.0,Compliant,inconnue,True,0.0,0.6506669262709156,0.34933298325362594
131,2100097.75,69.44,1.0,4,114297,0,114297,61.0,112,Non-Refrigerated Warehouse,Warehouse,NonResidential,1.0,0.0,22859.4,Compliant,inconnue,False,0.0,0.5655084388333829,0.43449168020869505
134,6744317.0,297.43,1.0,1,234144,0,234144,87.0,79,Non-Refrigerated Warehouse,Warehouse,NonResidential,1.0,0.0,117072.0,Compliant,inconnue,False,0.0,0.8047516153229453,0.19524838467705477
135,2944296.25,35.78,1.0,1,64984,0,64984,72.0,50,Retail Store,Retail Store,NonResidential,1.0,0.0,32492.0,Compliant,inconnue,False,0.0,0.1122879533606715,0.8877119617293946
136,9230223.0,369.14,1.0,1,67745,0,67745,37.0,51,Retail Store,Retail Store,NonResidential,1.0,0.0,33872.5,Compliant,inconnue,False,0.0,0.7157054602039409,0.2842945397960591
140,1851260.5,59.34,1.0,3,56000,0,56000,73.2,43,Other,Other,NonResidential,1.0,0.0,14000.0,Compliant,inconnue,True,0.0,0.5436274365493133,0.4563722933644401
142,1377519.5,48.99,1.0,2,52088,0,52088,65.6,47,Self-Storage Facility,Self-Storage Facility,NonResidential,1.0,0.0,17362.66667,Compliant,inconnue,True,0.0,0.6197770703064458,0.3802232926648225
144,9373179.0,309.6,1.0,5,123920,30000,93920,79.0,18,Hotel,Hotel,NonResidential,0.76,24.209,20653.33333,Compliant,inconnue,False,0.0,0.5647988798677589,0.4352010134448515
145,7548807.0,225.69,1.0,1,50000,0,50000,54.4,116,Other,Other,Nonresidential COS,1.0,0.0,25000.0,Compliant,inconnue,True,0.0,0.4968840771793477,0.503115790349389
146,430473.6875,3.0,1.0,2,50292,0,50292,82.2,90,Non-Refrigerated Warehouse,Warehouse,Nonresidential COS,1.0,0.0,16764.0,Compliant,inconnue,True,0.0,0.0,1.0000007259444865
147,11171988.0,338.16,1.0,7,207656,54341,153315,76.0,18,Hotel,Hotel,NonResidential,0.74,26.168999999999997,25957.0,Compliant,inconnue,False,0.0,0.5049414661025414,0.4950584443878744
149,9472358.0,175.77,1.0,2,91130,0,91130,70.4,59,Office,Small- and Mid-Sized Office,Nonresidential COS,1.0,0.0,30376.66667,Compliant,inconnue,True,0.0,0.25108563253204746,0.7489142618976183
151,6197825.0,208.26,1.0,4,64893,0,64893,70.0,48,Hotel,Hotel,NonResidential,1.0,0.0,12978.6,Compliant,inconnue,False,0.0,0.5771826406844337,0.42281735931556635
154,1677002.25,28.27,1.0,3,44558,0,44558,78.0,116,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,11139.5,Compliant,inconnue,False,0.0,0.21429011201386283,0.7857097389106067
155,59757440.0,892.63,1.0,6,1585960,327680,1258280,85.2,17,Other - Entertainment/Public Assembly,Other,NonResidential,0.79,20.660999999999998,226565.71429,Compliant,inconnue,True,0.0,0.17265662652215355,0.8273432396033029
156,9436408.0,96.43,1.0,2,179161,0,179161,70.4,92,Distribution Center,Distribution Center,Nonresidential COS,1.0,0.0,59720.33333,Compliant,inconnue,True,0.0,0.07039776152112118,0.9296020265338252
157,3928695.25,27.39,1.0,2,58640,0,58640,26.2,51,Non-Refrigerated Warehouse,Warehouse,Nonresidential COS,1.0,0.0,19546.66667,Compliant,inconnue,True,0.0,0.0,0.999999936365642
158,58761304.0,1246.55,1.0,3,1172127,0,1172127,85.2,17,Other - Entertainment/Public Assembly,Other,NonResidential,1.0,0.0,293031.75,Compliant,inconnue,True,0.0,0.30868818023507444,0.691311768710919
159,12726789.0,388.37,1.0,9,168449,14567,153882,64.0,11,Hotel,Hotel,NonResidential,0.91,8.648,16844.9,Compliant,inconnue,False,0.0,0.5103058595534191,0.48969406187216585
160,2411402.25,16.81,0.0,4,79600,0,79600,34.0,100,Non-Refrigerated Warehouse,Warehouse,NonResidential,1.0,0.0,15920.0,Compliant,inconnue,False,0.0,0.0,0.9999998963258826
163,9134963.0,162.41,1.0,6,419848,335109,84739,57.6,8,Parking,Other,NonResidential,0.2,79.81700000000001,59978.28571,Compliant,inconnue,True,0.0,0.23423367998315922,0.7657662105473224
164,10557910.0,92.91,1.0,4,110785,0,110785,60.2,14,Multifamily Housing,Mixed Use Property,NonResidential,1.0,0.0,22157.0,Compliant,inconnue,True,0.0,0.03962469844884073,0.9603752068354438
166,65047284.0,1638.46,1.0,0,934292,0,934292,85.2,17,Hotel,Hotel,NonResidential,1.0,0.0,934292.0,Compliant,inconnue,True,0.0,0.39483834559487524,0.6051615314176684
167,143423024.0,4906.33,6.0,5,597519,0,597519,34.0,26,Hospital (General Medical & Surgical),Hospital,NonResidential,1.0,0.0,99586.5,Compliant,inconnue,False,0.0,0.5903382290977215,0.4096617499851349
169,549181.375,9.63,1.0,3,75397,8161,67236,91.0,25,Non-Refrigerated Warehouse,Warehouse,NonResidential,0.89,10.824,18849.25,Compliant,inconnue,False,0.0,0.2290682199482821,0.770931097217199
170,293090784.0,10734.57,9.0,8,1158691,0,1158691,29.0,16,Hospital (General Medical & Surgical),Hospital,NonResidential,1.0,0.0,128743.44444,Compliant,inconnue,False,0.41821523804719835,0.006251063151818516,0.5755336271508285
171,10105379.0,193.94,1.0,5,102796,12611,90185,68.0,17,Senior Care Community,Senior Care Community,NonResidential,0.88,12.267999999999999,17132.66667,Compliant,inconnue,True,0.0,0.2648649793342734,0.7351348227513288
174,1377627.0,72.88,1.0,2,55653,0,55653,98.0,88,K-12 School,K-12 School,NonResidential,1.0,0.0,18551.0,Compliant,inconnue,False,0.0,0.9955445124115598,0.004455487588440122
175,11935719.0,469.57,1.0,16,106860,0,106860,49.0,85,Hotel,Hotel,NonResidential,1.0,0.0,6285.88235,Compliant,inconnue,False,0.0,0.7015895732800009,0.2984103429378657
176,3147042.0,49.09,1.0,5,50759,0,50759,62.0,44,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,8459.83333,Compliant,inconnue,False,0.0,0.18700385949726758,0.8129961405027324
177,2439484.75,84.57,1.0,2,56772,0,56772,46.0,64,Worship Facility,Worship Facility,NonResidential,1.0,0.0,18924.0,Compliant,inconnue,False,0.0,0.6002792187981499,0.39972088368250713
178,4854429.5,149.93,1.0,3,103000,0,103000,42.0,64,Worship Facility,Worship Facility,NonResidential,1.0,0.0,25750.0,Compliant,inconnue,False,0.0,0.5182885033143442,0.4817115996843707
185,6057410.0,57.21,1.0,7,128766,0,128766,85.6,102,Other - Entertainment/Public Assembly,Other,NonResidential,1.0,0.0,16095.75,Compliant,inconnue,True,0.0,0.05361367317054649,0.9463863268294536
186,5572503.0,254.87,1.0,9,107572,0,107572,76.0,103,Residence Hall/Dormitory,Residence Hall,NonResidential,1.0,0.0,10757.2,Compliant,inconnue,False,0.5520762393488169,0.0,0.44792367092489677
187,62197176.0,433.6,1.0,15,230880,0,230880,85.2,61,Other,Other,NonResidential,1.0,0.0,14430.0,Compliant,inconnue,True,0.0,0.0,0.9999999196104981
192,3267564.0,101.41,1.0,1,76086,0,76086,76.6,43,Other,Other,NonResidential,1.0,0.0,38043.0,Compliant,inconnue,True,0.0,0.5215499987146388,0.4784500012853612
193,28731502.0,661.04,1.0,5,190000,39000,151000,1.0,89,Medical Office,Medical Office,NonResidential,0.79,20.526,31666.66667,Compliant,inconnue,False,0.0,0.34756480882899893,0.652435121560996
194,25453690.0,1060.13,1.0,4,122309,0,122309,8.0,55,Hotel,Hotel,NonResidential,1.0,0.0,24461.8,Compliant,inconnue,False,0.0,0.751606348627645,0.24839357279828583
196,26659244.0,780.84,1.0,8,254273,38800,215473,29.0,13,Hotel,Hotel,NonResidential,0.85,15.259,28252.55556,Compliant,inconnue,False,0.0,0.48372339440683315,0.5162765305722848
197,14833476.0,301.76,1.0,2,69400,0,69400,49.6,36,Other - Entertainment/Public Assembly,Other,Nonresidential COS,1.0,0.0,23133.33333,Compliant,inconnue,True,0.0,0.2898244484300241,0.710175416739812
198,10394330.0,377.27,1.0,1,62900,0,62900,61.6,116,Restaurant,Mixed Use Property,NonResidential,1.0,0.0,31450.0,Compliant,inconnue,True,0.0,0.6355769924564643,0.36442300754353574
199,1380293.625,44.22,1.0,4,56500,0,56500,98.0,102,Office,Small- and Mid-Sized Office,NonResidential,1.0,0.0,11300.0,Compliant,inconnue,False,0.3569978181272843,0.0,0.6430023177133778
